"id","name","code","start_date","end_date","course_id/name","company_id/name"
"op_batch_0256","NPONMX23UE","NPONMX23UE",2022-12-09,2023-12-31,"Especialidad en Neuropsicología Clínica","ISEP INTERNACIONAL LLC"
"op_batch_0257","CPONCO23UE","CPONCO23UE",2022-12-09,2023-12-31,"Maestría en Psicooncología y Cuidados Paliativos","ISEP INTERNACIONAL LLC"
"op_batch_0258","CPONMX23UE","CPONMX23UE",2022-12-09,2023-12-31,"Maestría en Psicooncología y Cuidados Paliativos","ISEP INTERNACIONAL LLC"
"op_batch_0259","PFONCO23UE","PFONCO23UE",2022-12-09,2023-12-31,"Maestría en Psicoterapia Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0260","PFONMX23UE","PFONMX23UE",2022-12-09,2023-12-31,"Maestría en Psicoterapia Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0261","PIONCO23UE","PIONCO23UE",2022-12-09,2023-12-31,"Especialidad en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0262","PIONMX23UE","PIONMX23UE",2022-12-09,2023-12-31,"Especialidad en Psicología Clínica Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0263","MSONCO23ISE","MSONCO23ISE",2022-12-09,2023-12-31,"Maestría en Sexología Clínica y Terapia de Parejas","ISEP INTERNACIONAL LLC"
"op_batch_0264","MSONMX23ISE","MSONMX23ISE",2022-12-09,2023-12-31,"Maestría en Sexología Clínica y Terapia de Parejas","ISEP INTERNACIONAL LLC"
"op_batch_0265","SEONCO23UE","SEONCO23UE",2022-12-09,2023-12-31,"Especialidad en Terapia Sexual y de Pareja","ISEP INTERNACIONAL LLC"
"op_batch_0266","SEONMX23UE","SEONMX23UE",2022-12-09,2023-12-31,"Especialidad en Terapia Sexual y de Pareja","ISEP INTERNACIONAL LLC"
"op_batch_0267","ESONCO23UE","ESONCO23UE",2022-12-09,2023-12-31,"Maestría en Educación Especial","ISEP INTERNACIONAL LLC"
"op_batch_0268","ESONMX23UE","ESONMX23UE",2022-12-09,2023-12-31,"Maestría en Educación Especial","ISEP INTERNACIONAL LLC"
"op_batch_0269","PVONCO23UE","PVONCO23UE",2022-12-09,2023-12-31,"Maestría en Psicopedagogía Terapéutica","ISEP INTERNACIONAL LLC"
"op_batch_0270","PVONMX23UE","PVONMX23UE",2022-12-09,2023-12-31,"Maestría en Psicopedagogía Terapéutica","ISEP INTERNACIONAL LLC"
"op_batch_0271","APONMX23UE","APONMX23UE",2022-12-09,2023-12-31,"Maestría en Intervención en Dificultades del Aprendizaje","ISEP INTERNACIONAL LLC"
"op_batch_0272","DOONCO23UE","DOONCO23UE",2022-12-09,2023-12-31,"Maestría en educación con especialidad en educación y docencia","ISEP INTERNACIONAL LLC"
"op_batch_0273","DOONMX23UE","DOONMX23UE",2022-12-10,2023-12-31,"Maestría en educación con especialidad en educación y docencia","ISEP INTERNACIONAL LLC"
"op_batch_0274","THONCO23UE","THONCO23UE",2022-12-09,2023-12-31,"Maestría en Neuromanagement y Gestion del Talento","ISEP INTERNACIONAL LLC"
"op_batch_0275","THONMX23UE","THONMX23UE",2022-12-10,2023-12-31,"Maestría en Neuromanagement y Gestion del Talento","ISEP INTERNACIONAL LLC"
"op_batch_0276","LPONCO23UE","LPONCO23UE",2022-12-09,2023-12-31,"Maestría en Patologías del Lenguaje y el Habla","ISEP INTERNACIONAL LLC"
"op_batch_0277","LPONMX23UE","LPONMX23UE",2022-12-09,2023-12-31,"Maestría en Patologías del Lenguaje y el Habla","ISEP INTERNACIONAL LLC"
"op_batch_0278","TCONGE23DE","TCONGE23DE",2022-12-10,2023-12-31,"Diplomado Terapia CC centrada en personas adultas","ISEP INTERNACIONAL LLC"
"op_batch_0279","DIONGE23DE","DIONGE23DE",2022-12-12,2023-12-31,"Diplomado Diagnóstico e intervención en trastornos mentales","ISEP INTERNACIONAL LLC"
"op_batch_0280","EIONGE23DE","EIONGE23DE",2022-12-10,2023-12-31,"Diplomado Evaluación Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0281","LP36MX23UE","LP36MX23UE",2022-12-10,2023-12-31,"Maestría en Patologías del Lenguaje y el Habla","ISEP INTERNACIONAL LLC"
"op_batch_0282","TIONGE23DE","TIONGE23DE",2022-12-10,2023-12-31,"Diplomado Técnicas de intervención Infantojuvenil","ISEP INTERNACIONAL LLC"
"op_batch_0283","IJONGE23DE","IJONGE23DE",2022-12-10,2023-12-31,"Diplomado Diagnóstico e intervención infantojuvenil en trastornos de ansiedad, depresivos y bipolares","ISEP INTERNACIONAL LLC"
"op_batch_0284","TFONGE23DE","TFONGE23DE",2022-12-12,2023-12-31,"Diplomado Diagnóstico de trastornos clínicos y su repercusión forense","ISEP INTERNACIONAL LLC"
"op_batch_0285","FNONGE23DE","FNONGE23DE",2022-12-10,2023-12-31,"Diplomado Psicología forense centrada en niños y niñas","ISEP INTERNACIONAL LLC"
"op_batch_0286","FMONGE23DE","FMONGE23DE",2022-12-10,2023-12-31,"Diplomado Psicología forense centrada en la mujer y la familia","ISEP INTERNACIONAL LLC"
"op_batch_0287","PFONGE23DE","PFONGE23DE",2022-12-10,2023-12-31,"Diplomado Psicooncología. Duelo y transición de enfermedad avanzada a fin de la vida","ISEP INTERNACIONAL LLC"
"op_batch_0288","AUONCO23UE","AUONCO23UE",2022-12-10,2023-12-31,"Especialidad en Trastornos Autistas","ISEP INTERNACIONAL LLC"
"op_batch_0289","AUONMX23UE","AUONMX23UE",2022-12-10,2023-12-31,"Especialidad en Trastornos Autistas","ISEP INTERNACIONAL LLC"
"op_batch_0290","PAONGE23DE","PAONGE23DE",2022-12-10,2023-12-31,"Diplomado El psicólogo en oncología, alteraciones psicológicas derivadas del cáncer","ISEP INTERNACIONAL LLC"
"op_batch_0291","ATONCO23UE","ATONCO23UE",2022-12-10,2023-12-31,"Especialidad en Atención Temprana","ISEP INTERNACIONAL LLC"
"op_batch_0292","EDONCO23UE","EDONCO23UE",2022-12-10,2023-12-31,"Maestría en Educación","ISEP INTERNACIONAL LLC"
"op_batch_0293","EDONMX23UE","EDONMX23UE",2022-12-10,2023-12-31,"Maestría en Educación","ISEP INTERNACIONAL LLC"
"op_batch_0294","CAONGE23DE","CAONGE23DE",2022-12-13,2023-12-31,"Diplomado El cáncer en la familia","ISEP INTERNACIONAL LLC"
"op_batch_0295","DSONGE23DE","DSONGE23DE",2022-12-13,2023-12-31,"Diplomado Disfunciones sexuales","ISEP INTERNACIONAL LLC"
