"id","name","code","start_date","end_date","course_id/name","company_id/name"
"op_batch_0111","THONCO22UE","THONCO22UE",2022-04-07,2022-12-31,"op_course_0021","base.main_company"
"op_batch_0112","THONMX22UE","THONMX22UE",2022-04-07,2022-12-31,"op_course_0021","base.main_company"
"op_batch_0113","LPONCO22UE","LPONCO22UE",2022-04-07,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0114","LPONMX22UE","LPONMX22UE",2022-04-07,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0115","AUONCO22UE","AUONCO22UE",2022-04-07,2022-12-31,"op_course_0015","base.main_company"
"op_batch_0116","AUONMX22UE","AUONMX22UE",2022-04-07,2022-12-31,"op_course_0015","base.main_company"
"op_batch_0117","ATONCO22UE","ATONCO22UE",2022-04-07,2022-12-31,"__export__.op_course_38_d7e33622","base.main_company"
"op_batch_0118","ATONMX22UE","ATONMX22UE",2022-04-08,2022-12-31,"Especialidad en Atención Temprana","base.main_company"
"op_batch_0119","EDONCO22UE","EDONCO22UE",2022-04-07,2022-12-31,"Maestría en Educación","base.main_company"
"op_batch_0120","BBONMX22UE","BBONMX22UE",2022-04-07,2022-12-31,"op_course_0026","base.main_company"
"op_batch_0121","DPONMX22UE","DPONMX22UE",2022-04-07,2022-12-31,"op_course_0027","base.main_company"
"op_batch_0122","BAONMX22UE","BAONMX22UE",2022-04-07,2022-12-31,"op_course_0025","base.main_company"
"op_batch_0123","IEONMX22UE","IEONMX22UE",2022-04-07,2022-12-31,"Maestría en inteligencia emocional y desarrollo personal","base.main_company"
"op_batch_0124","PC36CO22ME","PC36CO22ME",2022-04-21,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0125","MI36CO22ME","MI36CO22ME",2022-04-21,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0126","EDONMX22UE","EDONMX22UE",2022-05-28,2022-12-31,"Maestría en Educación","base.main_company"
"op_batch_0127","CVONCU22GE","CVONCU22GE",2022-06-11,2022-12-31,"op_course_0094","base.main_company"
"op_batch_0128","LP36MX22SE","LP36MX22SE",2022-06-11,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0129","LP36CO22SE","LP36CO22SE",2022-06-11,2022-12-31,"op_course_0011","base.main_company"
"op_batch_0130","PC36CO22SE","PC36CO22SE",2022-06-11,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0131","PC36MX22SE","PC36MX22SE",2022-06-11,2022-12-31,"Maestría en Psicología Clínica y de la Salud","base.main_company"
"op_batch_0132","MI36CO22SE","MI36CO22SE",2022-06-14,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0133","MI36MX22SE","MI36MX22SE",2022-06-14,2022-12-31,"op_course_0002","base.main_company"
"op_batch_0134","EDONIS22P","EDONIS22P",2022-01-01,2024-12-31,"Mestrado em Educação","__export__.res_company_8_50662d8b"
"op_batch_0135","ESONIS22P","ESONIS22P",2022-01-01,2024-12-31,"Mestrado em Educação Especial","__export__.res_company_8_50662d8b"
"op_batch_0136","BAONIS22P","BAONIS22P",2022-01-01,2024-12-31,"op_course_0054","__export__.res_company_8_50662d8b"
"op_batch_0137","MIONIS22P","MIONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicologia Clínica da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0138","PCONIS22P","PCONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicologia Clínica e da Saúde","__export__.res_company_8_50662d8b"
"op_batch_0139","APONIS22P","APONIS22P",2022-01-01,2024-12-31,"Mestrado em Intervenção em Dificuldades de Aprendizagem","__export__.res_company_8_50662d8b"
"op_batch_0140","PVONIS22P","PVONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicopedagogia Terapêutica","__export__.res_company_8_50662d8b"
"op_batch_0141","MPONIS22P","MPONIS22P",2022-01-01,2024-12-31,"Máster em Terapia Cognitivo-Comportamental","__export__.res_company_8_50662d8b"
"op_batch_0142","PFONIS22P","PFONIS22P",2022-01-01,2024-12-31,"Máster em Psicoterapia da Criança e do Adolescente","__export__.res_company_8_50662d8b"
"op_batch_0143","MSONIS22P","MSONIS22P",2022-01-01,2024-12-31,"Máster em Sexologia Clínica e Terapia de Casais","__export__.res_company_8_50662d8b"
"op_batch_0144","BBONIS22P","BBONIS22P",2022-01-01,2024-12-31,"Mestrado em Big Data e Business Intelligence","__export__.res_company_8_50662d8b"
"op_batch_0145","MLONIS22P","MLONIS22P",2022-01-01,2024-12-31,"Mestrado em Psicologia Forense","__export__.res_company_8_50662d8b"
"op_batch_0146","CPONIS22P","CPONIS22P",2022-01-01,2024-12-31,"Máster em Psico-Oncologia e Cuidados Paliativos","__export__.res_company_8_50662d8b"
"op_batch_0147","LPONIS22P","LPONIS22P",2022-01-01,2024-12-31,"Mestrado em Distúrbios da Linguagem e da Fala","__export__.res_company_8_50662d8b"
"op_batch_0148","THONIS22P","THONIS22P",2022-01-01,2024-12-31,"Mestrado em Neuromanagement e Gestão de Talento","__export__.res_company_8_50662d8b"
"op_batch_0149","DPONIS22P","DPONIS22P",2022-01-01,2024-12-31,"Mestrado em Gestão de Projetos","__export__.res_company_8_50662d8b"
"op_batch_0150","POONIS22P","POONIS22P",2022-01-01,2023-12-31,"Especialização em Psico-oncologia","__export__.res_company_8_50662d8b"
"op_batch_0151","PIONIS22P","PIONIS22P",2022-01-01,2022-12-31,"Especialização em Avaliação e Intervenção em Crianças e Adolescentes","__export__.res_company_8_50662d8b"
"op_batch_0152","SEONIS22P","SEONIS22P",2022-01-01,2023-12-31,"Especialização em Terapia Sexual e de Casais","__export__.res_company_8_50662d8b"
"op_batch_0153","ATONIS22P","ATONIS22P",2022-01-01,2023-12-31,"Especialização em Cuidados Precoces","__export__.res_company_8_50662d8b"
"op_batch_0154","AUONIS22P","AUONIS22P",2022-01-01,2023-12-31,"Especialização em Transtorno do Espectro do Autismo","__export__.res_company_8_50662d8b"
"op_batch_0155","NPONIS22P","NPONIS22P",2022-01-01,2023-12-31,"Especialização em Neuropsicologia Clínica","__export__.res_company_8_50662d8b"
"op_batch_0156","MNONMX22UE","MNONMX22UE",2022-07-05,2022-12-31,"Maestría en Neuropsicología Clínica","base.main_company"
"op_batch_0157","OKONIS22P","OKONIS22P",2022-07-20,2030-12-31,"op_course_0101","__export__.res_company_8_50662d8b"
